sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,detail_type,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,total_wagers,total_handle
Professional,Online Wagering,Par-A-Dice Gaming Corporation,4656872,87244455.93,1567217,52874635.16,January,1,2021,Wager Details,1623,1366804,93977,1212171,53572,145803,127850,47502,3748853,56120,378,0,0,0,6224089,140119091.1
Professional,Online Wagering,Par-A-Dice Gaming Corporation,4656872,87244455.93,1567217,52874635.16,January,1,2021,Handle Details,38195.45,60984779.83,2332982.38,40425591.42,1019764.24,4132594.58,6062147.25,4272902.37,50046247.86,4028472.41,2483.51,0,0,0,6224089,140119091.1
Professional,Total,"Alton Casino, LLC",3110,248245.5,2089,271633.87,January,1,2021,Wager Details,12,3446,99,1178,207,596,80,2,971,0,6,0,0,0,5199,519879.37
Professional,Total,"Alton Casino, LLC",3110,248245.5,2089,271633.87,January,1,2021,Handle Details,786.5,516410.28,5597.55,121715.15,3584.89,17476.78,5416.14,291.07,35756.8,0,45,0,0,0,5199,519879.37
Professional,Total,"Casino Queen, Inc.",2574389,72787381.53,3667146,112408978.6,January,1,2021,Wager Details,2799,1966475,134848,2224735,120331,237706,252044,75766,2604115,197247,1669,0,0,0,6241535,185196360.1
Professional,Total,"Casino Queen, Inc.",2574389,72787381.53,3667146,112408978.6,January,1,2021,Handle Details,79891.86,92958232.54,3577192.9,69477290.36,2084146.7,7633023.08,12745303.15,4477072.15,47246158.97,3908592.14,9305.25,0,0,0,6241535,185196360.1
Professional,Total,Elgin Riverboat Resort,41349,5874132,1505,54318.61,January,1,2021,Wager Details,58,31521,1013,24852,460,3605,2758,151,0,85,21,0,0,0,42854,5928450.61
Professional,Total,Elgin Riverboat Resort,41349,5874132,1505,54318.61,January,1,2021,Handle Details,1758.04,4208715,51786.42,4534645.17,34522.27,230432.24,184559.04,22994.42,0,1413.4,152,0,0,0,42854,5928450.61
Professional,Total,"Hawthorne Race Course, Inc.",391238,16697400.55,121714,11897753.19,January,1,2021,Wager Details,444,211801,10019,145941,11407,28567,29255,6645,176869,61104,51,0,0,0,512952,28595153.74
Professional,Total,"Hawthorne Race Course, Inc.",391238,16697400.55,121714,11897753.19,January,1,2021,Handle Details,17245.36,17841027.23,397945.63,8863837.4,255984.97,1644843.74,2806063.45,1116016.6,6185831.12,1461582.08,712.9,0,0,0,512952,28595153.74
Professional,Total,"HC Aurora, LLC",1513,165250.03,428,43389.41,January,1,2021,Wager Details,57,1199,55,603,28,162,38,2,170,0,3,0,0,0,1941,208639.44
Professional,Total,"HC Aurora, LLC",1513,165250.03,428,43389.41,January,1,2021,Handle Details,1164.76,167107.09,2500,60176.5,1662,5993.4,2795,95,18587.04,0,25,0,0,0,1941,208639.44
Professional,Total,"HC Joliet, LLC",1544,98961.62,829,109984.01,January,1,2021,Wager Details,6,1497,50,715,40,217,395,0,265,1,2,0,0,0,2373,208945.63
Professional,Total,"HC Joliet, LLC",1544,98961.62,829,109984.01,January,1,2021,Handle Details,185,171501.19,3336.06,74290.07,1133.5,23608.86,21355.21,0,13587.05,10,40,0,0,0,2373,208945.63
Professional,Total,"Midwest Gaming & Entertainment, LLC",892524,36121345.71,761019,44131661.96,January,1,2021,Wager Details,1114,895934,36580,657271,32708,129720,181093,41483,196691,1558,96,0,0,0,1653543,80253007.67
Professional,Total,"Midwest Gaming & Entertainment, LLC",892524,36121345.71,761019,44131661.96,January,1,2021,Handle Details,53017.82,53211728.02,1513185.01,35596522.12,582419.81,4210607.01,8215505.44,3673253.13,5585911.22,95087.44,619.8,0,0,0,1653543,80253007.67
Professional,Total,Par-A-Dice Gaming Corporation,4658515,87358186.86,1567333,52877724.5,January,1,2021,Wager Details,1625,1367160,93998,1212530,53573,145858,127851,47502,3750038,56120,378,0,0,0,6225848,140235911.4
Professional,Total,Par-A-Dice Gaming Corporation,4658515,87358186.86,1567333,52877724.5,January,1,2021,Handle Details,38305.45,61021176.83,2333781.38,40488848.67,1019774.24,4136316.58,6062187.25,4272902.37,50076683.88,4028472.41,2483.51,0,0,0,6225848,140235911.4
College,In-Person Wagering,"Alton Casino, LLC",961,111634.41,431,75521.38,January,1,2021,Wager Details,12,3446,99,1178,207,596,80,2,971,0,6,0,0,0,1392,187155.79
College,In-Person Wagering,"Alton Casino, LLC",961,111634.41,431,75521.38,January,1,2021,Handle Details,786.5,516410.28,5597.55,121715.15,3584.89,17476.78,5416.14,291.07,35756.8,0,45,0,0,0,1392,187155.79
College,In-Person Wagering,"Casino Queen, Inc.",1359,124328.85,395,41222.34,January,1,2021,Wager Details,33,4819,105,1595,108,836,328,4,1617,0,6,0,0,0,1754,165551.19
College,In-Person Wagering,"Casino Queen, Inc.",1359,124328.85,395,41222.34,January,1,2021,Handle Details,1245.71,367339.58,9762.61,142046.3,3849.15,61571.86,35097.53,561,35873.15,0,19,0,0,0,1754,165551.19
College,In-Person Wagering,Elgin Riverboat Resort,254,103767.05,0,0,January,1,2021,Wager Details,6,618,40,617,24,131,22,0,0,0,3,0,0,0,254,103767.05
