sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,total_wager,total_handle
College,Online Wagering,"Fairmount Park, Inc.",940,60959.12,0,0,June,6,2022,940,60959.12
College,Online Wagering,"Hawthorne Race Course, Inc.",1329,96853.25,745,95577.31,June,6,2022,2074,192430.56
College,Online Wagering,"HC Aurora, LLC",3659,155462,244,21203,June,6,2022,3903,176665
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,June,6,2022,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",3480,218642,709,51229.05,June,6,2022,4189,269871.05
College,Online Wagering,Par-A-Dice Gaming Corporation,2429,205364.7,571,41930.89,June,6,2022,3000,247295.59
College,Total,"Alton Casino, LLC",90,6876.9,13,323,June,6,2022,103,7199.9
College,Total,"Casino Queen, Inc.",35164,2213113,907,85896.79,June,6,2022,36071,2299009.79
College,Total,Elgin Riverboat Resort,13,3072,224,48371.04,June,6,2022,237,51443.04
College,Total,"Fairmount Park, Inc.",940,60959.12,0,0,June,6,2022,940,60959.12
College,Total,"Hawthorne Race Course, Inc.",1390,100883.3,745,95577.31,June,6,2022,2135,196460.61
College,Total,"HC Aurora, LLC",3711,160373.7,256,21454.45,June,6,2022,3967,181828.15
College,Total,"HC Joliet, LLC",75,4179.73,19,550,June,6,2022,94,4729.73
College,Total,"Midwest Gaming & Entertainment, LLC",3725,268006.3,746,54700.43,June,6,2022,4471,322706.73
College,Total,Par-A-Dice Gaming Corporation,2432,205429.7,571,41930.89,June,6,2022,3003,247360.59
Motor Race,In-Person Wagering,"Alton Casino, LLC",125,3340,18,846.6,June,6,2022,143,4186.6
Motor Race,In-Person Wagering,"Casino Queen, Inc.",293,9275.91,155,2112.44,June,6,2022,448,11388.35
Motor Race,In-Person Wagering,Elgin Riverboat Resort,38,1014,2,20,June,6,2022,40,1034
Motor Race,In-Person Wagering,"Fairmount Park, Inc.",103,1759,7,86.25,June,6,2022,110,1845.25
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",12,904.5,0,0,June,6,2022,12,904.5
Motor Race,In-Person Wagering,"HC Aurora, LLC",4,276.04,1,10,June,6,2022,5,286.04
Motor Race,In-Person Wagering,"HC Joliet, LLC",77,1348,23,563,June,6,2022,100,1911
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",63,2192.9,29,1472.07,June,6,2022,92,3664.97
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,3,55,0,0,June,6,2022,3,55
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,June,6,2022,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",21834,322168.2,4465,95973.53,June,6,2022,26299,418141.73
Motor Race,Online Wagering,Elgin Riverboat Resort,1121,48389.67,511,33391.31,June,6,2022,1632,81780.98
Motor Race,Online Wagering,"Fairmount Park, Inc.",15933,237381.9,2125,52701.96,June,6,2022,18058,290083.86
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",1236,28894.83,119,6304.09,June,6,2022,1355,35198.92
Motor Race,Online Wagering,"HC Aurora, LLC",1856,29925,3043,63333,June,6,2022,4899,93258
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,June,6,2022,0,0
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",3345,77682.69,1605,35472.72,June,6,2022,4950,113155.41
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,1055,18154.44,456,12386.07,June,6,2022,1511,30540.51
Motor Race,Total,"Alton Casino, LLC",125,3340,18,846.6,June,6,2022,143,4186.6
Motor Race,Total,"Casino Queen, Inc.",22127,331444.1,4620,98085.97,June,6,2022,26747,429530.07
Motor Race,Total,Elgin Riverboat Resort,1159,49403.67,513,33411.31,June,6,2022,1672,82814.98
Motor Race,Total,"Fairmount Park, Inc.",16036,239140.9,2132,52788.21,June,6,2022,18168,291929.11
Motor Race,Total,"Hawthorne Race Course, Inc.",1248,29799.33,119,6304.09,June,6,2022,1367,36103.42
Motor Race,Total,"HC Aurora, LLC",1860,30201.04,3044,63343,June,6,2022,4904,93544.04
Motor Race,Total,"HC Joliet, LLC",77,1348,23,563,June,6,2022,100,1911
Motor Race,Total,"Midwest Gaming & Entertainment, LLC",3408,79875.59,1634,36944.79,June,6,2022,5042,116820.38
Motor Race,Total,Par-A-Dice Gaming Corporation,1058,18209.44,456,12386.07,June,6,2022,1514,30595.51
Other Event,In-Person Wagering,"Alton Casino, LLC",0,0,0,0,June,6,2022,0,0
Other Event,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,In-Person Wagering,Elgin Riverboat Resort,0,0,0,0,June,6,2022,0,0
Other Event,In-Person Wagering,"Fairmount Park, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,In-Person Wagering,"HC Aurora, LLC",0,0,0,0,June,6,2022,0,0
Other Event,In-Person Wagering,"HC Joliet, LLC",0,0,0,0,June,6,2022,0,0
Other Event,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,June,6,2022,0,0
Other Event,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,"Alton Casino, LLC",0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,"Casino Queen, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,Elgin Riverboat Resort,0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,"Fairmount Park, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,"HC Aurora, LLC",0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,"HC Joliet, LLC",0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,June,6,2022,0,0
Other Event,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,June,6,2022,0,0
Other Event,Total,"Alton Casino, LLC",0,0,0,0,June,6,2022,0,0
Other Event,Total,"Casino Queen, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,Total,Elgin Riverboat Resort,0,0,0,0,June,6,2022,0,0
Other Event,Total,"Fairmount Park, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,Total,"Hawthorne Race Course, Inc.",0,0,0,0,June,6,2022,0,0
Other Event,Total,"HC Aurora, LLC",0,0,0,0,June,6,2022,0,0
Other Event,Total,"HC Joliet, LLC",0,0,0,0,June,6,2022,0,0
Other Event,Total,"Midwest Gaming & Entertainment, LLC",0,0,0,0,June,6,2022,0,0
Other Event,Total,Par-A-Dice Gaming Corporation,0,0,0,0,June,6,2022,0,0
Professional,In-Person Wagering,"Alton Casino, LLC",13015,1403792,13962,703773.8,July,7,2022,26977,2107565.8
Professional,In-Person Wagering,"Casino Queen, Inc.",41703,2171927,21409,1530047,July,7,2022,63112,3701974
Professional,In-Person Wagering,Elgin Riverboat Resort,1323,422190.7,5786,199826.7,July,7,2022,7109,622017.4
Professional,In-Person Wagering,"Fairmount Park, Inc.",7587,589772.8,1987,235612.4,July,7,2022,9574,825385.2
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",17783,1419562,0,0,July,7,2022,17783,1419562
Professional,In-Person Wagering,"HC Aurora, LLC",6376,602394,3676,1253212,July,7,2022,10052,1855606
Professional,In-Person Wagering,"HC Joliet, LLC",5110,450652.8,4539,249446.1,July,7,2022,9649,700098.9
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",28010,6358357,20896,2291266,July,7,2022,48906,8649623
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,2564,218678.4,1063,104493.1,July,7,2022,3627,323171.5
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2022,0,0
Professional,Online Wagering,"Casino Queen, Inc.",2584522,101000000,1546035,50593245,July,7,2022,4130557,151593245
Professional,Online Wagering,Elgin Riverboat Resort,71903,11591384,148366,13112600,July,7,2022,220269,24703984
Professional,Online Wagering,"Fairmount Park, Inc.",4095301,73680986,2786902,94554972,July,7,2022,6882203,168235958
Professional,Online Wagering,"Hawthorne Race Course, Inc.",231184,13515081,165800,26299152,July,7,2022,396984,39814233
Professional,Online Wagering,"HC Aurora, LLC",77223,5762825,315815,20525431,July,7,2022,393038,26288256
Professional,Online Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2022,0,0
Professional,Online Wagering,"Midwest Gaming & Entertainment, LLC",396282,16394586,579110,36407341,July,7,2022,975392,52801927
Professional,Online Wagering,Par-A-Dice Gaming Corporation,292642,15124159,308775,15787332,July,7,2022,601417,30911491
Professional,Total,"Alton Casino, LLC",13015,1403792,13962,703773.8,July,7,2022,26977,2107565.8
Professional,Total,"Casino Queen, Inc.",2626225,103000000,1567444,52123291,July,7,2022,4193669,155123291
Professional,Total,Elgin Riverboat Resort,73226,12013575,154152,13312427,July,7,2022,227378,25326002
Professional,Total,"Fairmount Park, Inc.",4102888,74270759,2788889,94790584,July,7,2022,6891777,169061343
Professional,Total,"Hawthorne Race Course, Inc.",248967,14934642,165800,26299152,July,7,2022,414767,41233794
Professional,Total,"HC Aurora, LLC",83599,6365219,319491,21778643,July,7,2022,403090,28143862
Professional,Total,"HC Joliet, LLC",5110,450652.8,4539,249446.1,July,7,2022,9649,700098.9
Professional,Total,"Midwest Gaming & Entertainment, LLC",424292,22752944,600006,38698607,July,7,2022,1024298,61451551
Professional,Total,Par-A-Dice Gaming Corporation,295206,15342837,309838,15891825,July,7,2022,605044,31234662
College,In-Person Wagering,"Alton Casino, LLC",26,1377,0,0,July,7,2022,26,1377
College,In-Person Wagering,"Casino Queen, Inc.",4,3325,69,6086,July,7,2022,73,9411
College,In-Person Wagering,Elgin Riverboat Resort,8,220,55,8506.45,July,7,2022,63,8726.45
College,In-Person Wagering,"Fairmount Park, Inc.",0,0,0,0,July,7,2022,0,0
College,In-Person Wagering,"Hawthorne Race Course, Inc.",6,434.75,0,0,July,7,2022,6,434.75
College,In-Person Wagering,"HC Aurora, LLC",6,16,5,256.3,July,7,2022,11,272.3
College,In-Person Wagering,"HC Joliet, LLC",38,2448.81,0,0,July,7,2022,38,2448.81
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",97,8940.72,15,801.4,July,7,2022,112,9742.12
College,In-Person Wagering,Par-A-Dice Gaming Corporation,5,145,0,0,July,7,2022,5,145
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2022,0,0
College,Online Wagering,"Casino Queen, Inc.",4269,193009.4,442,6925.07,July,7,2022,4711,199934.47
College,Online Wagering,Elgin Riverboat Resort,58,7892.41,279,73006.53,July,7,2022,337,80898.94
College,Online Wagering,"Fairmount Park, Inc.",2316,152405,0,0,July,7,2022,2316,152405
College,Online Wagering,"Hawthorne Race Course, Inc.",491,37149.26,0,0,July,7,2022,491,37149.26
College,Online Wagering,"HC Aurora, LLC",2,135,0,0,July,7,2022,2,135
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2022,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",827,27937.38,51,451.44,July,7,2022,878,28388.82
College,Online Wagering,Par-A-Dice Gaming Corporation,439,25830.83,0,0,July,7,2022,439,25830.83
College,Total,"Alton Casino, LLC",26,1377,0,0,July,7,2022,26,1377
College,Total,"Casino Queen, Inc.",4273,196334.4,511,13011.07,July,7,2022,4784,209345.47
College,Total,Elgin Riverboat Resort,66,8112.41,334,81512.98,July,7,2022,400,89625.39
College,Total,"Fairmount Park, Inc.",2316,152405,0,0,July,7,2022,2316,152405
College,Total,"Hawthorne Race Course, Inc.",497,37584.01,0,0,July,7,2022,497,37584.01
College,Total,"HC Aurora, LLC",8,151,5,256.3,July,7,2022,13,407.3
College,Total,"HC Joliet, LLC",38,2448.81,0,0,July,7,2022,38,2448.81
College,Total,"Midwest Gaming & Entertainment, LLC",924,36878.1,66,1252.84,July,7,2022,990,38130.94
College,Total,Par-A-Dice Gaming Corporation,444,25975.83,0,0,July,7,2022,444,25975.83
Motor Race,In-Person Wagering,"Alton Casino, LLC",134,4955,34,480,July,7,2022,168,5435
Motor Race,In-Person Wagering,"Casino Queen, Inc.",1530,7369.95,131,2266,July,7,2022,1661,9635.95
Motor Race,In-Person Wagering,Elgin Riverboat Resort,38,444,3,218,July,7,2022,41,662
Motor Race,In-Person Wagering,"Fairmount Park, Inc.",118,2452,0,0,July,7,2022,118,2452
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",27,2084,0,0,July,7,2022,27,2084
Motor Race,In-Person Wagering,"HC Aurora, LLC",31,2127.54,18,140,July,7,2022,49,2267.54
Motor Race,In-Person Wagering,"HC Joliet, LLC",134,2367.88,48,820.8,July,7,2022,182,3188.68
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",109,2188.77,28,1654.53,July,7,2022,137,3843.3
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,15,435,0,0,July,7,2022,15,435
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2022,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",31324,478492.2,8979,191539.5,July,7,2022,40303,670031.7
Motor Race,Online Wagering,Elgin Riverboat Resort,1708,63724.85,994,73189.73,July,7,2022,2702,136914.58
Motor Race,Online Wagering,"Fairmount Park, Inc.",18050,282723,3094,109122,July,7,2022,21144,391845
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",2010,44562.08,78,5998.5,July,7,2022,2088,50560.58
Motor Race,Online Wagering,"HC Aurora, LLC",2501,45180,4801,125961,July,7,2022,7302,171141
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2022,0,0
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",5924,79347.38,3759,46946.62,July,7,2022,9683,126294
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,1448,24336.34,602,13008.11,July,7,2022,2050,37344.45
Motor Race,Total,"Alton Casino, LLC",134,4955,34,480,July,7,2022,168,5435
Motor Race,Total,"Casino Queen, Inc.",32854,485862.2,9110,193805.5,July,7,2022,41964,679667.7
Motor Race,Total,Elgin Riverboat Resort,1746,64168.85,997,73407.73,July,7,2022,2743,137576.58
Motor Race,Total,"Fairmount Park, Inc.",18168,285175,3094,109122,July,7,2022,21262,394297
Motor Race,Total,"Hawthorne Race Course, Inc.",2037,46646.08,78,5998.5,July,7,2022,2115,52644.58
Motor Race,Total,"HC Aurora, LLC",2532,47307.54,4819,126101,July,7,2022,7351,173408.54
Motor Race,Total,"HC Joliet, LLC",134,2367.88,48,820.8,July,7,2022,182,3188.68
Motor Race,Total,"Midwest Gaming & Entertainment, LLC",6033,81536.15,3787,48601.15,July,7,2022,9820,130137.3
Motor Race,Total,Par-A-Dice Gaming Corporation,1463,24771.34,602,13008.11,July,7,2022,2065,37779.45
Other Event,In-Person Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2022,0,0
Other Event,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,In-Person Wagering,Elgin Riverboat Resort,0,0,0,0,July,7,2022,0,0
Other Event,In-Person Wagering,"Fairmount Park, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,In-Person Wagering,"HC Aurora, LLC",0,0,0,0,July,7,2022,0,0
Other Event,In-Person Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2022,0,0
Other Event,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,July,7,2022,0,0
Other Event,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,"Casino Queen, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,Elgin Riverboat Resort,0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,"Fairmount Park, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,"HC Aurora, LLC",0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,July,7,2022,0,0
Other Event,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,July,7,2022,0,0
Other Event,Total,"Alton Casino, LLC",0,0,0,0,July,7,2022,0,0
Other Event,Total,"Casino Queen, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,Total,Elgin Riverboat Resort,0,0,0,0,July,7,2022,0,0
Other Event,Total,"Fairmount Park, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,Total,"Hawthorne Race Course, Inc.",0,0,0,0,July,7,2022,0,0
Other Event,Total,"HC Aurora, LLC",0,0,0,0,July,7,2022,0,0
Other Event,Total,"HC Joliet, LLC",0,0,0,0,July,7,2022,0,0
Other Event,Total,"Midwest Gaming & Entertainment, LLC",0,0,0,0,July,7,2022,0,0
Other Event,Total,Par-A-Dice Gaming Corporation,0,0,0,0,July,7,2022,0,0
Professional,In-Person Wagering,"Alton Casino, LLC",13907,1973736,18687,1060247,August,8,2022,32594,3033983
Professional,In-Person Wagering,"Casino Queen, Inc.",46925,2161857,21855,1028772,August,8,2022,68780,3190629
Professional,In-Person Wagering,Elgin Riverboat Resort,1375,373259.8,6401,275041.5,August,8,2022,7776,648301.3
Professional,In-Person Wagering,"Fairmount Park, Inc.",7981,476108,1935,68316.04,August,8,2022,9916,544424.04
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",18996,1505255,0,0,August,8,2022,18996,1505255
Professional,In-Person Wagering,"HC Aurora, LLC",7280,742619.3,4427,1070734,August,8,2022,11707,1813353.3
Professional,In-Person Wagering,"HC Joliet, LLC",5813,443678,4257,176141.3,August,8,2022,10070,619819.3
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",31106,9979575,24205,2714090,August,8,2022,55311,12693665
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,3035,238533.5,1090,66438,August,8,2022,4125,304971.5
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2022,0,0
Professional,Online Wagering,"Casino Queen, Inc.",2786508,111000000,1598804,54882019,August,8,2022,4385312,165882019
Professional,Online Wagering,Elgin Riverboat Resort,74690,12551307,153120,15523676,August,8,2022,227810,28074983
Professional,Online Wagering,"Fairmount Park, Inc.",4467733,78525761,3067624,100000000,August,8,2022,7535357,178525761
Professional,Online Wagering,"Hawthorne Race Course, Inc.",274267,13557437,191656,24137397,August,8,2022,465923,37694834
Professional,Online Wagering,"HC Aurora, LLC",71223,6016812,333061,22092600,August,8,2022,404284,28109412
Professional,Online Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2022,0,0
Professional,Online Wagering,"Midwest Gaming & Entertainment, LLC",440715,18282038,621053,42184574,August,8,2022,1061768,60466612
Professional,Online Wagering,Par-A-Dice Gaming Corporation,270385,15159344,276960,18559302,August,8,2022,547345,33718646
Professional,Total,"Alton Casino, LLC",13907,1973736,18687,1060247,August,8,2022,32594,3033983
Professional,Total,"Casino Queen, Inc.",2833433,113000000,1620659,55910791,August,8,2022,4454092,168910791
Professional,Total,Elgin Riverboat Resort,76065,12924567,159521,15798717,August,8,2022,235586,28723284
Professional,Total,"Fairmount Park, Inc.",4475714,79001869,3069559,100000000,August,8,2022,7545273,179001869
Professional,Total,"Hawthorne Race Course, Inc.",293263,15062691,191656,24137397,August,8,2022,484919,39200088
Professional,Total,"HC Aurora, LLC",78503,6759431,337488,23163334,August,8,2022,415991,29922765
Professional,Total,"HC Joliet, LLC",5813,443678,4257,176141.3,August,8,2022,10070,619819.3
Professional,Total,"Midwest Gaming & Entertainment, LLC",471821,28261612,645258,44898664,August,8,2022,1117079,73160276
Professional,Total,Par-A-Dice Gaming Corporation,273420,15397878,278050,18625740,August,8,2022,551470,34023618
College,In-Person Wagering,"Alton Casino, LLC",483,47155.04,23,5417.2,August,8,2022,506,52572.24
College,In-Person Wagering,"Casino Queen, Inc.",248,21206.34,284,40440.67,August,8,2022,532,61647.01
College,In-Person Wagering,Elgin Riverboat Resort,78,12023.7,137,22683.26,August,8,2022,215,34706.96
College,In-Person Wagering,"Fairmount Park, Inc.",136,41,0,0,August,8,2022,136,41
College,In-Person Wagering,"Hawthorne Race Course, Inc.",566,42398.2,0,0,August,8,2022,566,42398.2
College,In-Person Wagering,"HC Aurora, LLC",260,22748.56,35,21634.82,August,8,2022,295,44383.38
College,In-Person Wagering,"HC Joliet, LLC",359,39326.8,42,2884.39,August,8,2022,401,42211.19
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",994,122982.3,102,14347.22,August,8,2022,1096,137329.52
College,In-Person Wagering,Par-A-Dice Gaming Corporation,50,6444,0,0,August,8,2022,50,6444
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2022,0,0
College,Online Wagering,"Casino Queen, Inc.",75548,2634515,12087,418368.6,August,8,2022,87635,3052883.6
College,Online Wagering,Elgin Riverboat Resort,2629,569114.6,1952,237579.9,August,8,2022,4581,806694.5
College,Online Wagering,"Fairmount Park, Inc.",13281,607052,0,0,August,8,2022,13281,607052
College,Online Wagering,"Hawthorne Race Course, Inc.",10340,421596.6,904,94294.67,August,8,2022,11244,515891.27
College,Online Wagering,"HC Aurora, LLC",3858,172548,1180,143581,August,8,2022,5038,316129
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2022,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",12661,530852.5,2340,285220.2,August,8,2022,15001,816072.7
College,Online Wagering,Par-A-Dice Gaming Corporation,4609,462932.6,258,25386.58,August,8,2022,4867,488319.18
College,Total,"Alton Casino, LLC",483,47155.04,23,5417.2,August,8,2022,506,52572.24
College,Total,"Casino Queen, Inc.",75796,2655722,12371,458809.3,August,8,2022,88167,3114531.3
College,Total,Elgin Riverboat Resort,2707,581138.3,2089,260263.1,August,8,2022,4796,841401.4
College,Total,"Fairmount Park, Inc.",13417,607093,0,0,August,8,2022,13417,607093
College,Total,"Hawthorne Race Course, Inc.",10906,463994.8,904,94294.67,August,8,2022,11810,558289.47
College,Total,"HC Aurora, LLC",4118,195296.6,1215,165215.8,August,8,2022,5333,360512.4
College,Total,"HC Joliet, LLC",359,39326.8,42,2884.39,August,8,2022,401,42211.19
College,Total,"Midwest Gaming & Entertainment, LLC",13655,653834.8,2442,299567.4,August,8,2022,16097,953402.2
College,Total,Par-A-Dice Gaming Corporation,4659,469376.6,258,25386.58,August,8,2022,4917,494763.18
Motor Race,In-Person Wagering,"Alton Casino, LLC",163,6369.35,37,463,August,8,2022,200,6832.35
Motor Race,In-Person Wagering,"Casino Queen, Inc.",180,1995,114,1161.5,August,8,2022,294,3156.5
Motor Race,In-Person Wagering,Elgin Riverboat Resort,50,502.25,6,252,August,8,2022,56,754.25
Motor Race,In-Person Wagering,"Fairmount Park, Inc.",75,2219,4,57,August,8,2022,79,2276
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",19,1445,0,0,August,8,2022,19,1445
Motor Race,In-Person Wagering,"HC Aurora, LLC",106,1011.5,62,515,August,8,2022,168,1526.5
Motor Race,In-Person Wagering,"HC Joliet, LLC",144,2629.69,51,807,August,8,2022,195,3436.69
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",85,2337.07,34,871,August,8,2022,119,3208.07
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,5,493,0,0,August,8,2022,5,493
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2022,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",2288,37041.62,24402,355223.3,August,8,2022,26690,392264.92
Motor Race,Online Wagering,Elgin Riverboat Resort,1391,44038.52,585,30488.75,August,8,2022,1976,74527.27
Motor Race,Online Wagering,"Fairmount Park, Inc.",12465,168365,1212,18486,August,8,2022,13677,186851
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",1305,32680.41,151,5376.72,August,8,2022,1456,38057.13
Motor Race,Online Wagering,"HC Aurora, LLC",1996,32192,2318,51587,August,8,2022,4314,83779
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2022,0,0
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",3897,62313.87,2102,35790.94,August,8,2022,5999,98104.81
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,1229,20852.32,458,9830.52,August,8,2022,1687,30682.84
Motor Race,Total,"Alton Casino, LLC",163,6369.35,37,463,August,8,2022,200,6832.35
Motor Race,Total,"Casino Queen, Inc.",2468,39036.62,24516,356384.8,August,8,2022,26984,395421.42
Motor Race,Total,Elgin Riverboat Resort,1441,44540.77,591,30740.75,August,8,2022,2032,75281.52
Motor Race,Total,"Fairmount Park, Inc.",12540,170584,1216,18543,August,8,2022,13756,189127
Motor Race,Total,"Hawthorne Race Course, Inc.",1324,34125.41,151,5376.72,August,8,2022,1475,39502.13
Motor Race,Total,"HC Aurora, LLC",2102,33203.5,2380,52102,August,8,2022,4482,85305.5
Motor Race,Total,"HC Joliet, LLC",144,2629.69,51,807,August,8,2022,195,3436.69
Motor Race,Total,"Midwest Gaming & Entertainment, LLC",3982,64650.94,2136,36661.94,August,8,2022,6118,101312.88
Motor Race,Total,Par-A-Dice Gaming Corporation,1234,21345.32,458,9830.52,August,8,2022,1692,31175.84
Other Event,In-Person Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2022,0,0
Other Event,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,August,8,2022,0,0
Other Event,In-Person Wagering,Elgin Riverboat Resort,0,0,0,0,August,8,2022,0,0
Other Event,In-Person Wagering,"Fairmount Park, Inc.",0,0,0,0,August,8,2022,0,0
Other Event,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,August,8,2022,0,0
Other Event,In-Person Wagering,"HC Aurora, LLC",0,0,0,0,August,8,2022,0,0
Other Event,In-Person Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2022,0,0
Other Event,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,August,8,2022,0,0
Other Event,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,"Casino Queen, Inc.",0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,Elgin Riverboat Resort,0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,"Fairmount Park, Inc.",0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,"HC Aurora, LLC",0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,August,8,2022,0,0
Other Event,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,August,8,2022,0,0
Other Event,Total,"Alton Casino, LLC",0,0,0,0,August,8,2022,0,0
Other Event,Total,"Casino Queen, Inc.",0,0,0,0,August,8,2022,0,0
Other Event,Total,Elgin Riverboat Resort,0,0,0,0,August,8,2022,0,0
Other Event,Total,"Fairmount Park, Inc.",0,0,0,0,August,8,2022,0,0
