detail_type,location_type,licensee,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,month,numerical_month,year
Wager Details,Total,"Alton Casino, LLC",19406,890,530,152,1352,11,389,1505,2738,30,168,0,0,0,July,7,2022
Wager Details,Total,"Casino Queen, Inc.",980085,113879,123298,24318,213239,1129,117292,180738,2377210,67265,41964,0,0,0,July,7,2022
Wager Details,Total,Elgin Riverboat Resort,102155,10427,6101,2213,11055,71,6281,18513,70630,332,2743,0,0,0,July,7,2022
Wager Details,Total,"Fairmount Park, Inc.",824991,40455,137701,12149,129623,416,156919,255100,5067869,268870,21262,0,0,0,July,7,2022
Wager Details,Total,"Hawthorne Race Course, Inc.",129601,9207,8892,3223,19268,89,20764,46109,173542,4569,2115,0,0,0,July,7,2022
Wager Details,Total,"HC Aurora, LLC",121746,11287,18931,636,25156,99,18193,25826,139186,42043,7351,0,0,0,July,7,2022
Wager Details,Total,"HC Joliet, LLC",6263,175,182,194,609,0,827,498,935,4,182,0,0,0,July,7,2022
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",515269,31567,38439,6554,63751,194,148593,141645,75282,3994,9820,0,0,0,July,7,2022
Wager Details,Total,Par-A-Dice Gaming Corporation,153628,19074,10850,2109,17994,26,23480,52908,321127,4292,2065,0,0,0,July,7,2022
Wager Details,In-Person Wagering,"Alton Casino, LLC",21835,745,290,1910,825,16,814,2348,4280,37,200,0,0,0,August,8,2022
Wager Details,In-Person Wagering,"Casino Queen, Inc.",9880,273,327,1723,741,69,436,418,55441,4,294,0,0,0,August,8,2022
Wager Details,In-Person Wagering,Elgin Riverboat Resort,1145,57,45,532,138,8,105,45,5916,0,56,0,0,0,August,8,2022
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",2005,67,219,490,711,27,103,148,6057,225,79,0,0,0,August,8,2022
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",10237,64,66,1405,0,5,69,0,7716,0,19,0,0,0,August,8,2022
Wager Details,In-Person Wagering,"HC Aurora, LLC",6764,105,173,1018,191,3,2264,271,1188,25,168,0,0,0,August,8,2022
Wager Details,In-Person Wagering,"HC Joliet, LLC",5339,209,64,1133,484,12,1434,660,1131,5,195,0,0,0,August,8,2022
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",25851,1007,1381,4782,1286,10,11370,3154,7535,31,119,0,0,0,August,8,2022
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,785,6,39,158,169,0,5,20,2876,117,5,0,0,0,August,8,2022
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,August,8,2022
Wager Details,Online Wagering,"Casino Queen, Inc.",949846,65105,83426,177527,141122,4829,195436,202727,2596272,56657,26690,0,0,0,August,8,2022
Wager Details,Online Wagering,Elgin Riverboat Resort,91705,7265,3670,14762,6480,213,12056,21113,72906,2221,1976,0,0,0,August,8,2022
Wager Details,Online Wagering,"Fairmount Park, Inc.",806100,38819,70063,53672,78503,217,229931,281257,5689119,300957,13677,0,0,0,August,8,2022
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",110835,7493,5348,30651,16003,403,38116,56180,206569,5569,1456,0,0,0,August,8,2022
Wager Details,Online Wagering,"HC Aurora, LLC",104300,5366,7812,15774,15135,188,32577,30341,156841,40988,4314,0,0,0,August,8,2022
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,August,8,2022
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",458753,15933,22501,59692,46361,602,198296,183549,88713,2369,5999,0,0,0,August,8,2022
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,134849,8093,5744,17483,11918,25,32476,51438,288446,1740,1687,0,0,0,August,8,2022
Wager Details,Total,"Alton Casino, LLC",21835,745,290,1910,825,16,814,2348,4280,37,200,0,0,0,August,8,2022
Wager Details,Total,"Casino Queen, Inc.",959726,65378,83753,179250,141863,4898,195872,203145,2651713,56661,26984,0,0,0,August,8,2022
Wager Details,Total,Elgin Riverboat Resort,92850,7322,3715,15294,6618,221,12161,21158,78822,2221,2032,0,0,0,August,8,2022
Wager Details,Total,"Fairmount Park, Inc.",808105,38886,70282,54162,79214,244,230034,281405,5695176,301182,13756,0,0,0,August,8,2022
Wager Details,Total,"Hawthorne Race Course, Inc.",121072,7557,5414,32056,16003,408,38185,56180,214285,5569,1475,0,0,0,August,8,2022
Wager Details,Total,"HC Aurora, LLC",111064,5471,7985,16792,15326,191,34841,30612,158029,41013,4482,0,0,0,August,8,2022
Wager Details,Total,"HC Joliet, LLC",5339,209,64,1133,484,12,1434,660,1131,5,195,0,0,0,August,8,2022
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",484604,16940,23882,64474,47647,612,209666,186703,96248,2400,6118,0,0,0,August,8,2022
Wager Details,Total,Par-A-Dice Gaming Corporation,135634,8099,5783,17641,12087,25,32481,51458,291322,1857,1692,0,0,0,August,8,2022
Wager Details,In-Person Wagering,"Alton Casino, LLC",11779,540,333,21213,186,35,287,1601,6176,9,242,0,0,0,September,9,2022
Wager Details,In-Person Wagering,"Casino Queen, Inc.",8220,226,555,11683,136,150,292,514,78212,3,271,0,0,0,September,9,2022
Wager Details,In-Person Wagering,Elgin Riverboat Resort,535,142,81,2695,22,17,141,58,8322,0,38,0,0,0,September,9,2022
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",1423,26,204,3072,262,41,77,61,11676,451,61,0,0,0,September,9,2022
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",6185,11,59,10813,0,2,275,0,10701,0,22,0,0,0,September,9,2022
Wager Details,In-Person Wagering,"HC Aurora, LLC",4287,90,228,8713,62,29,2205,258,1764,8,66,0,0,0,September,9,2022
Wager Details,In-Person Wagering,"HC Joliet, LLC",2959,69,118,10475,170,24,948,260,1666,1,150,0,0,0,September,9,2022
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",18083,768,1433,36050,393,93,11421,2883,10235,47,99,0,0,0,September,9,2022
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,721,10,17,1485,53,4,11,40,5837,246,4,0,0,0,September,9,2022
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,September,9,2022
Wager Details,Online Wagering,"Casino Queen, Inc.",758962,79014,112853,2426958,44225,9132,180792,216690,4626852,78216,25030,0,0,0,September,9,2022
Wager Details,Online Wagering,Elgin Riverboat Resort,62532,6050,3238,134833,1253,450,10405,15933,105652,2699,2428,0,0,0,September,9,2022
Wager Details,Online Wagering,"Fairmount Park, Inc.",535174,13171,89378,1266056,20899,3557,201124,289847,7419506,589439,13259,0,0,0,September,9,2022
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",88454,7650,6410,215266,4659,438,32480,47248,342387,13770,1351,0,0,0,September,9,2022
Wager Details,Online Wagering,"HC Aurora, LLC",60958,7711,8256,258736,3879,413,20710,30614,280999,77531,4353,0,0,0,September,9,2022
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,September,9,2022
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",303213,18336,21708,582086,16093,1745,183594,178300,135068,2133,4440,0,0,0,September,9,2022
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,97729,9981,4401,246025,4139,527,26982,54090,367095,4774,1398,0,0,0,September,9,2022
Wager Details,Total,"Alton Casino, LLC",11779,540,333,21213,186,35,287,1601,6176,9,242,0,0,0,September,9,2022
Wager Details,Total,"Casino Queen, Inc.",767182,79240,113408,2438641,44361,9282,181084,217204,4705064,78219,25301,0,0,0,September,9,2022
Wager Details,Total,Elgin Riverboat Resort,63067,6192,3319,137528,1275,467,10546,15991,113974,2699,2466,0,0,0,September,9,2022
Wager Details,Total,"Fairmount Park, Inc.",536597,13197,89582,1269128,21161,3598,201201,289908,7431182,589890,13320,0,0,0,September,9,2022
Wager Details,Total,"Hawthorne Race Course, Inc.",94639,7661,6469,226079,4659,440,32755,47248,353088,13770,1373,0,0,0,September,9,2022
Wager Details,Total,"HC Aurora, LLC",65245,7801,8484,267449,3941,442,22915,30872,282763,77539,4419,0,0,0,September,9,2022
Wager Details,Total,"HC Joliet, LLC",2959,69,118,10475,170,24,948,260,1666,1,150,0,0,0,September,9,2022
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",321296,19104,23141,618136,16486,1838,195015,181183,145303,2180,4539,0,0,0,September,9,2022
Wager Details,Total,Par-A-Dice Gaming Corporation,98450,9991,4418,247510,4192,531,26993,54130,372932,5020,1402,0,0,0,September,9,2022
Wager Details,In-Person Wagering,"Alton Casino, LLC",4384,5558,349,27475,394,1574,326,1379,8723,0,288,0,0,0,October,10,2022
Wager Details,In-Person Wagering,"Casino Queen, Inc.",4616,2069,326,11945,166,1460,293,627,92141,11,241,0,0,0,October,10,2022
Wager Details,In-Person Wagering,Elgin Riverboat Resort,609,730,49,3479,21,108,173,18,11022,0,33,0,0,0,October,10,2022
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",905,447,159,3219,366,317,77,117,13839,314,54,0,0,0,October,10,2022
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",2872,1870,159,15081,0,976,232,0,11626,0,17,0,0,0,October,10,2022
Wager Details,In-Person Wagering,"HC Aurora, LLC",1530,2172,147,10652,143,324,2142,179,2621,7,95,0,0,0,October,10,2022
Wager Details,In-Person Wagering,"HC Joliet, LLC",1370,1240,59,13109,166,391,1190,340,2517,0,117,0,0,0,October,10,2022
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",7870,9086,1201,42948,545,2480,14504,3207,14738,141,123,0,0,0,October,10,2022
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,609,519,27,2115,46,121,3,12,7460,299,9,0,0,0,October,10,2022
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,October,10,2022
Wager Details,Online Wagering,"Casino Queen, Inc.",545966,696711,76486,2600000,47164,185460,221612,197068,5660730,81431,24265,0,0,0,October,10,2022
Wager Details,Online Wagering,Elgin Riverboat Resort,32496,42329,2395,159029,2089,16479,14024,12767,130598,2443,2265,0,0,0,October,10,2022
Wager Details,Online Wagering,"Fairmount Park, Inc.",335930,559828,73091,1592521,22747,111422,232850,258375,10813936,832611,13296,0,0,0,October,10,2022
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",53301,89511,4563,258191,5635,23723,33774,56312,431938,16303,1341,0,0,0,October,10,2022
Wager Details,Online Wagering,"HC Aurora, LLC",41009,42596,6555,265771,3170,26363,24718,20098,309633,83622,4193,0,0,0,October,10,2022
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,October,10,2022
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",135054,164910,18295,710303,17691,70230,216950,158404,189778,2292,4852,0,0,0,October,10,2022
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,64415,107790,4269,291633,4713,30234,30724,50055,458527,3600,1314,0,0,0,October,10,2022
Wager Details,Total,"Alton Casino, LLC",4384,5558,349,27475,394,1574,326,1379,8723,0,288,0,0,0,October,10,2022
Wager Details,Total,"Casino Queen, Inc.",550582,698780,76812,2610000,47330,186920,221905,197695,5752871,81442,24506,0,0,0,October,10,2022
Wager Details,Total,Elgin Riverboat Resort,33105,43059,2444,162508,2110,16587,14197,12785,141620,2443,2298,0,0,0,October,10,2022
Wager Details,Total,"Fairmount Park, Inc.",336835,560275,73250,1595740,23113,111739,232927,258492,10827775,832925,13350,0,0,0,October,10,2022
Wager Details,Total,"Hawthorne Race Course, Inc.",56173,91381,4722,273272,5635,24699,34006,56312,443564,16303,1358,0,0,0,October,10,2022
Wager Details,Total,"HC Aurora, LLC",42539,44768,6702,276423,3313,26687,26860,20277,312254,83629,4288,0,0,0,October,10,2022
Wager Details,Total,"HC Joliet, LLC",1370,1240,59,13109,166,391,1190,340,2517,0,117,0,0,0,October,10,2022
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",142924,173996,19496,753251,18236,72710,231454,161611,204516,2433,4975,0,0,0,October,10,2022
Wager Details,Total,Par-A-Dice Gaming Corporation,65024,108309,4296,293748,4759,30355,30727,50067,465987,3899,1323,0,0,0,October,10,2022
Wager Details,In-Person Wagering,"Alton Casino, LLC",1110,11908,218,21258,421,2375,688,848,9281,0,159,0,0,0,November,11,2022
Wager Details,In-Person Wagering,"Casino Queen, Inc.",498,5062,237,10673,157,2041,1480,238,93792,8,40,0,0,0,November,11,2022
Wager Details,In-Person Wagering,Elgin Riverboat Resort,114,1882,53,3286,21,263,495,16,13646,0,7,0,0,0,November,11,2022
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",162,1049,159,2913,338,547,363,72,14360,275,17,0,0,0,November,11,2022
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",697,5566,55,11349,0,1016,71,0,11608,0,10,0,0,0,November,11,2022
Wager Details,In-Person Wagering,"HC Aurora, LLC",495,6215,87,9231,82,419,2749,404,2644,0,18,0,0,0,November,11,2022
Wager Details,In-Person Wagering,"HC Joliet, LLC",946,3092,55,9872,117,817,906,197,2485,3,24,0,0,0,November,11,2022
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",747,18741,956,35979,305,3101,13710,2439,13842,50,16,0,0,0,November,11,2022
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,66,981,7,1716,32,182,49,13,7122,229,6,0,0,0,November,11,2022
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,November,11,2022
Wager Details,Online Wagering,"Casino Queen, Inc.",83678,1259261,72397,2060000,30316,181697,474991,174566,5838736,75391,5892,0,0,0,November,11,2022
Wager Details,Online Wagering,Elgin Riverboat Resort,5710,99997,2627,137503,2096,19063,28799,11943,132340,1101,669,0,0,0,November,11,2022
Wager Details,Online Wagering,"Fairmount Park, Inc.",56453,1246415,66432,1350996,16743,141464,495084,224632,10900000,645550,3206,0,0,0,November,11,2022
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",7277,195948,3802,221934,3489,27949,76326,47672,429726,9971,393,0,0,0,November,11,2022
Wager Details,Online Wagering,"HC Aurora, LLC",6612,108964,7080,199011,2121,28188,45888,16393,282136,69307,1047,0,0,0,November,11,2022
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,November,11,2022
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",18037,383993,16662,582526,12234,99233,244669,114502,185989,2038,1227,0,0,0,November,11,2022
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,10489,220105,6859,730338,4133,41191,67818,45117,451422,2192,389,0,0,0,November,11,2022
Wager Details,Total,"Alton Casino, LLC",1110,11908,218,21258,421,2375,688,848,9281,0,159,0,0,0,November,11,2022
Wager Details,Total,"Casino Queen, Inc.",84176,1264323,72634,2070000,30473,183738,476471,174804,5932528,75399,5932,0,0,0,November,11,2022
Wager Details,Total,Elgin Riverboat Resort,5824,101879,2680,140789,2117,19326,29294,11959,145986,1101,676,0,0,0,November,11,2022
Wager Details,Total,"Fairmount Park, Inc.",56615,1247464,66591,1353909,17081,142011,495447,224704,10900000,645825,3223,0,0,0,November,11,2022
Wager Details,Total,"Hawthorne Race Course, Inc.",7974,201514,3857,233283,3489,28965,76397,47672,441334,9971,403,0,0,0,November,11,2022
Wager Details,Total,"HC Aurora, LLC",7107,115179,7167,208242,2203,28607,48637,16797,284780,69307,1065,0,0,0,November,11,2022
Wager Details,Total,"HC Joliet, LLC",946,3092,55,9872,117,817,906,197,2485,3,24,0,0,0,November,11,2022
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",18784,402734,17618,618505,12539,102334,258379,116941,199831,2088,1243,0,0,0,November,11,2022
Wager Details,Total,Par-A-Dice Gaming Corporation,10555,221086,6866,732054,4165,41373,67867,45130,458544,2421,395,0,0,0,November,11,2022
Wager Details,In-Person Wagering,"Alton Casino, LLC",4,12987,304,20219,102,2155,812,196,9251,8,4,0,0,0,December,12,2022
Wager Details,In-Person Wagering,"Casino Queen, Inc.",34,6064,261,10441,59,2409,1683,72,100468,32,12,0,0,0,December,12,2022
Wager Details,In-Person Wagering,Elgin Riverboat Resort,8,1722,53,3230,20,296,561,56,13469,0,0,0,0,0,December,12,2022
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",21,1631,170,3396,53,629,252,8,14443,73,2,0,0,0,December,12,2022
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",33,6430,19,11717,0,1044,63,0,10085,0,0,0,0,0,December,12,2022
Wager Details,In-Person Wagering,"HC Aurora, LLC",6,6745,145,7856,25,540,2426,174,2995,4,0,0,0,0,December,12,2022
Wager Details,In-Person Wagering,"HC Joliet, LLC",2,3771,96,9108,52,815,999,35,2612,1,0,0,0,0,December,12,2022
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",39,19485,823,32923,88,3852,12298,1116,14133,34,4,0,0,0,December,12,2022
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,4,1466,8,1994,26,70,60,0,7048,28,0,0,0,0,December,12,2022
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,December,12,2022
Wager Details,Online Wagering,"Casino Queen, Inc.",811,1260198,77799,1890000,15336,182209,414277,98897,5220861,80690,93,0,0,0,December,12,2022
Wager Details,Online Wagering,Elgin Riverboat Resort,136,109438,2391,131232,535,20316,28848,7260,130664,640,14,0,0,0,December,12,2022
Wager Details,Online Wagering,"Fairmount Park, Inc.",510,1317140,71323,1451195,6991,138032,453426,116413,10800000,803476,57,0,0,0,December,12,2022
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",120,239487,5260,233889,2007,28579,73950,33247,459939,10553,9,0,0,0,December,12,2022
Wager Details,Online Wagering,"HC Aurora, LLC",0,107134,7526,192891,1164,29070,44702,8477,249061,65597,1,0,0,0,December,12,2022
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,December,12,2022
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",138,426451,17882,571990,5114,106738,190134,55752,190664,3446,29,0,0,0,December,12,2022
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,149,260497,7406,279216,1289,55701,81800,34114,452915,2111,1,0,0,0,December,12,2022
Wager Details,Total,"Alton Casino, LLC",4,12987,304,20219,102,2155,812,196,9251,8,4,0,0,0,December,12,2022
Wager Details,Total,"Casino Queen, Inc.",845,1266262,78060,1910000,15395,184618,415960,98969,5321329,80722,105,0,0,0,December,12,2022
Wager Details,Total,Elgin Riverboat Resort,144,111160,2444,134462,555,20612,29409,7316,144133,640,14,0,0,0,December,12,2022
Wager Details,Total,"Fairmount Park, Inc.",531,1318771,71493,1454591,7044,138661,453678,116421,10800000,803549,59,0,0,0,December,12,2022
Wager Details,Total,"Hawthorne Race Course, Inc.",153,245917,5279,245606,2007,29623,74013,33247,470024,10553,9,0,0,0,December,12,2022
Wager Details,Total,"HC Aurora, LLC",6,113879,7671,200747,1189,29610,47128,8651,252056,65601,1,0,0,0,December,12,2022
Wager Details,Total,"HC Joliet, LLC",2,3771,96,9108,52,815,999,35,2612,1,0,0,0,0,December,12,2022
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",177,445936,18705,604913,5202,110590,202432,56868,204797,3480,33,0,0,0,December,12,2022
Wager Details,Total,Par-A-Dice Gaming Corporation,153,261963,7414,281210,1315,55771,81860,34114,459963,2139,1,0,0,0,December,12,2022
Wager Details,In-Person Wagering,"Alton Casino, LLC",28,18178,274,20114,385,2375,248,700,10032,4,50,0,0,0,January,1,2023
Wager Details,In-Person Wagering,"Casino Queen, Inc.",47,7570,395,11847,584,2661,360,447,103154,72,0,0,0,0,January,1,2023
Wager Details,In-Person Wagering,Elgin Riverboat Resort,25,2266,44,3214,61,344,187,79,12906,0,4,0,0,0,January,1,2023
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",42,2401,94,3396,476,800,67,75,14428,35,7,0,0,0,January,1,2023
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",8,11935,39,11095,0,848,44,0,10215,0,0,0,0,0,January,1,2023
Wager Details,In-Person Wagering,"HC Aurora, LLC",11,8264,57,6750,93,472,2607,112,2753,1,0,0,0,0,January,1,2023
Wager Details,In-Person Wagering,"HC Joliet, LLC",5,5197,64,8864,163,805,994,157,2215,0,5,0,0,0,January,1,2023
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",70,10947,289,13221,830,2368,3327,1108,53615,13,3,0,0,0,January,1,2023
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,5,1687,7,1363,156,166,1,11,6564,13,0,0,0,0,January,1,2023
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,1,2023
Wager Details,Online Wagering,"Casino Queen, Inc.",3174,1744034,50743,1852544,99135,225191,204772,251061,5174432,86487,663,0,0,0,January,1,2023
Wager Details,Online Wagering,Elgin Riverboat Resort,249,151312,1939,102282,4632,25594,21845,23388,152203,205,97,0,0,0,January,1,2023
Wager Details,Online Wagering,"Fairmount Park, Inc.",794,1665144,53772,1506093,45956,158022,227844,249257,12546904,758241,328,0,0,0,January,1,2023
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",92,241807,2949,158558,16140,28141,35736,48308,421008,1994,39,0,0,0,January,1,2023
Wager Details,Online Wagering,"HC Aurora, LLC",0,141180,4019,153965,6815,31119,20843,23606,248308,49020,5,0,0,0,January,1,2023
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,1,2023
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",327,295881,5537,263377,17353,64062,72719,117015,751690,924,65,0,0,0,January,1,2023
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,293,280151,3415,206877,8700,47836,33417,50407,418039,1620,760,0,0,0,January,1,2023
Wager Details,Total,"Alton Casino, LLC",28,18178,274,20114,385,2375,248,700,10032,4,50,0,0,0,January,1,2023
Wager Details,Total,"Casino Queen, Inc.",3221,1751604,51138,1864391,99719,227852,205132,251508,5277586,86559,663,0,0,0,January,1,2023
Wager Details,Total,Elgin Riverboat Resort,274,153578,1983,105496,4693,25938,22032,23467,165109,205,101,0,0,0,January,1,2023
Wager Details,Total,"Fairmount Park, Inc.",836,1667545,53866,1509489,46432,158822,227911,249332,12561332,758276,335,0,0,0,January,1,2023
Wager Details,Total,"Hawthorne Race Course, Inc.",100,253742,2988,169653,16140,28989,35780,48308,431223,1994,39,0,0,0,January,1,2023
Wager Details,Total,"HC Aurora, LLC",11,149444,4076,160715,6908,31591,23450,23718,251061,49021,5,0,0,0,January,1,2023
Wager Details,Total,"HC Joliet, LLC",5,5197,64,8864,163,805,994,157,2215,0,5,0,0,0,January,1,2023
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",397,306828,5826,276598,18183,66430,76046,118123,805305,937,68,0,0,0,January,1,2023
Wager Details,Total,Par-A-Dice Gaming Corporation,298,281838,3422,208240,8856,48002,33418,50418,424603,1633,760,0,0,0,January,1,2023
Wager Details,In-Person Wagering,"Alton Casino, LLC",143,21275,352,6025,451,2280,412,678,5051,1,388,0,0,0,February,2,2023
Wager Details,In-Person Wagering,"Casino Queen, Inc.",237,7861,483,7192,1119,1810,853,250,74034,18,384,0,0,0,February,2,2023
Wager Details,In-Person Wagering,Elgin Riverboat Resort,90,2981,54,1882,165,221,251,52,9502,1,160,0,0,0,February,2,2023
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",1669,685,103,1785,700,553,122,55,9220,44,178,0,0,0,February,2,2023
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",81,13240,49,3362,0,924,130,0,7810,0,33,0,0,0,February,2,2023
Wager Details,In-Person Wagering,"HC Aurora, LLC",83,8658,107,2187,229,490,3543,222,1382,5,95,0,0,0,February,2,2023
Wager Details,In-Person Wagering,"HC Joliet, LLC",54,6995,94,3322,326,769,1106,158,1230,0,241,0,0,0,February,2,2023
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",263,12863,565,5408,1344,1505,3798,1861,39969,7,204,0,0,0,February,2,2023
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,25,1945,21,463,199,106,2,0,5040,11,44,0,0,0,February,2,2023
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,February,2,2023
Wager Details,Online Wagering,"Casino Queen, Inc.",19324,1907628,114508,696526,249032,227262,252298,262463,4120336,105709,47067,0,0,0,February,2,2023
Wager Details,Online Wagering,Elgin Riverboat Resort,1283,158600,3016,32221,10260,24879,25699,20852,123222,120,3594,0,0,0,February,2,2023
Wager Details,Online Wagering,"Fairmount Park, Inc.",4580,1645589,100047,585062,137558,178554,295028,268785,9890353,597152,35624,0,0,0,February,2,2023
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",728,214397,5472,32162,20529,25527,38291,53571,310149,1991,1807,0,0,0,February,2,2023
Wager Details,Online Wagering,"HC Aurora, LLC",299,136257,8541,57951,17133,25000,24079,17549,163038,28539,7944,0,0,0,February,2,2023
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,February,2,2023
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",2627,298229,10266,70243,34082,59110,83875,108530,561113,1252,8379,0,0,0,February,2,2023
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,953,268236,7488,66835,18060,42291,41209,53937,359813,2826,4673,0,0,0,February,2,2023
Wager Details,Total,"Alton Casino, LLC",143,21275,352,6025,451,2280,412,678,5051,1,388,0,0,0,February,2,2023
Wager Details,Total,"Casino Queen, Inc.",19561,1915489,114991,703718,250151,229072,253151,262713,4194370,105727,47451,0,0,0,February,2,2023
Wager Details,Total,Elgin Riverboat Resort,1373,161581,3070,34103,10425,25100,25950,20904,132724,121,3754,0,0,0,February,2,2023
Wager Details,Total,"Fairmount Park, Inc.",6249,1646274,100150,586847,138258,179107,295150,268840,9899573,597196,35802,0,0,0,February,2,2023
Wager Details,Total,"Hawthorne Race Course, Inc.",809,227637,5521,35524,20529,26451,38421,53571,317959,1991,1840,0,0,0,February,2,2023
Wager Details,Total,"HC Aurora, LLC",382,144915,8648,60138,17362,25490,27622,17771,164420,28544,8039,0,0,0,February,2,2023
Wager Details,Total,"HC Joliet, LLC",54,6995,94,3322,326,769,1106,158,1230,0,241,0,0,0,February,2,2023
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",2890,311092,10831,75651,35426,60615,87673,110391,601082,1259,8583,0,0,0,February,2,2023
Wager Details,Total,Par-A-Dice Gaming Corporation,978,270181,7509,67298,18259,42397,41211,53937,364853,2837,4717,0,0,0,February,2,2023
Wager Details,In-Person Wagering,"Alton Casino, LLC",1489,28697,568,270,790,2964,666,764,7333,1,343,0,0,0,March,3,2023
Wager Details,In-Person Wagering,"Casino Queen, Inc.",1534,18933,838,583,1254,2414,1514,301,98550,54,410,0,0,0,March,3,2023
Wager Details,In-Person Wagering,Elgin Riverboat Resort,494,6208,119,109,239,406,260,99,12726,2,134,0,0,0,March,3,2023
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",374,4576,187,43,1008,676,163,97,14634,253,182,0,0,0,March,3,2023
