detail_type,location_type,licensee,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,month,numerical_month,year
Handle Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,1,2021
Handle Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",50557.82,51040185.7,1448109.84,34638965.02,578967.54,4096663.37,7997767.67,3668746.56,5375950.8,94327.44,589.8,0,0,0,January,1,2021
Handle Details,Online Wagering,Par-A-Dice Gaming Corporation,38195.45,60984779.83,2332982.38,40425591.42,1019764.24,4132594.58,6062147.25,4272902.37,50046247.86,4028472.41,2483.51,0,0,0,January,1,2021
Handle Details,Total,"Alton Casino, LLC",786.5,516410.28,5597.55,121715.15,3584.89,17476.78,5416.14,291.07,35756.8,0,45,0,0,0,January,1,2021
Handle Details,Total,"Casino Queen, Inc.",79891.86,92958232.54,3577192.9,69477290.36,2084146.7,7633023.08,12745303.15,4477072.15,47246158.97,3908592.14,9305.25,0,0,0,January,1,2021
Handle Details,Total,Elgin Riverboat Resort,1758.04,4208715,51786.42,4534645.17,34522.27,230432.24,184559.04,22994.42,0,1413.4,152,0,0,0,January,1,2021
Handle Details,Total,"Hawthorne Race Course, Inc.",17245.36,17841027.23,397945.63,8863837.4,255984.97,1644843.74,2806063.45,1116016.6,6185831.12,1461582.08,712.9,0,0,0,January,1,2021
Handle Details,Total,"HC Aurora, LLC",1164.76,167107.09,2500,60176.5,1662,5993.4,2795,95,18587.04,0,25,0,0,0,January,1,2021
Handle Details,Total,"HC Joliet, LLC",185,171501.19,3336.06,74290.07,1133.5,23608.86,21355.21,0,13587.05,10,40,0,0,0,January,1,2021
Handle Details,Total,"Midwest Gaming & Entertainment, LLC",53017.82,53211728.02,1513185.01,35596522.12,582419.81,4210607.01,8215505.44,3673253.13,5585911.22,95087.44,619.8,0,0,0,January,1,2021
Handle Details,Total,Par-A-Dice Gaming Corporation,38305.45,61021176.83,2333781.38,40488848.67,1019774.24,4136316.58,6062187.25,4272902.37,50076683.88,4028472.41,2483.51,0,0,0,January,1,2021
Wager Details,In-Person Wagering,"Alton Casino, LLC",200,15709,253,3164,981,1985,404,111,2866,0,414,0,0,0,February,2,2021
Wager Details,In-Person Wagering,"Casino Queen, Inc.",128,27437,212,3708,850,3409,915,352,6505,245,0,0,0,0,February,2,2021
Wager Details,In-Person Wagering,Elgin Riverboat Resort,56,3633,65,1243,221,428,178,61,0,0,82,0,0,0,February,2,2021
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",1,7360,51,1487,0,1030,0,0,942,0,73,0,0,0,February,2,2021
Wager Details,In-Person Wagering,"HC Aurora, LLC",77,7339,76,1327,143,389,507,67,579,1,82,0,0,0,February,2,2021
Wager Details,In-Person Wagering,"HC Joliet, LLC",52,5871,110,1910,450,968,1035,60,1022,2,145,0,0,0,February,2,2021
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",262,31235,1158,5677,1128,3558,6151,2000,6398,23,237,0,0,0,February,2,2021
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,17,1052,34,464,18,130,2,8,2505,1,77,0,0,0,February,2,2021
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,February,2,2021
Wager Details,Online Wagering,"Casino Queen, Inc.",8105,2222259,97137,625543,261043,343441,288531,250170,2340951,166994,90986,0,0,0,February,2,2021
Wager Details,Online Wagering,Elgin Riverboat Resort,207,47031,1296,6614,1269,8129,4555,1458,0,3,820,0,0,0,February,2,2021
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",1044,252968,8402,46440,31329,44463,29342,20021,180250,28144,3582,0,0,0,February,2,2021
Wager Details,Online Wagering,"HC Aurora, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,February,2,2021
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,February,2,2021
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",3365,911564,38450,140528,59151,204879,188361,130380,170674,649,17083,0,0,0,February,2,2021
